insert into lottery.match values('1600101','英超','阿森纳','纽卡','1:0','3');
insert into lottery.europe_data values('williamHill','lastData','4.00','3.75','1.85','1602712');
insert into lottery.europe_data values('Interwetten','firstData','5.50','4.00','1.55','1602712');
insert into lottery.europe_data values('Interwetten','lastData','4.50','3.70','1.70','1602712');
insert into lottery.match values('1602713','西甲','格拉纳','巴伦西','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','2.80','3.10','2.62','1602713');
insert into lottery.europe_data values('williamHill','lastData','2.90','3.25','2.45','1602713');
insert into lottery.europe_data values('Interwetten','firstData','2.65','3.30','2.50','1602713');
insert into lottery.europe_data values('Interwetten','lastData','2.75','3.30','2.40','1602713');
insert into lottery.match values('1602714','法甲','里尔','里昂','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.62','3.10','2.80','1602714');
insert into lottery.europe_data values('williamHill','lastData','2.60','3.00','2.90','1602714');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.10','2.70','1602714');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.10','2.70','1602714');
insert into lottery.match values('1603001','德甲','科隆','赫塔','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','2.05','3.25','3.80','1603001');
insert into lottery.europe_data values('williamHill','lastData','2.20','3.10','3.50','1603001');
insert into lottery.europe_data values('Interwetten','firstData','2.15','3.30','3.20','1603001');
insert into lottery.europe_data values('Interwetten','lastData','2.15','3.30','3.20','1603001');
insert into lottery.match values('1603002','西甲','埃瓦尔','拉斯帕','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','1.83','3.50','4.40','1603002');
insert into lottery.europe_data values('williamHill','lastData','1.75','3.60','4.75','1603002');
insert into lottery.europe_data values('Interwetten','firstData','1.75','3.50','4.50','1603002');
insert into lottery.europe_data values('Interwetten','lastData','1.75','3.50','4.50','1603002');
insert into lottery.match values('1603003','法甲','尼斯','巴斯蒂','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','1.80','3.30','5.00','1603003');
insert into lottery.europe_data values('williamHill','lastData','1.80','3.30','5.00','1603003');
insert into lottery.europe_data values('Interwetten','firstData','1.80','3.40','4.35','1603003');
insert into lottery.europe_data values('Interwetten','lastData','1.80','3.40','4.35','1603003');
insert into lottery.match values('1603101','英超','莱切城','诺维奇','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.20','6.50','1603101');
insert into lottery.europe_data values('williamHill','lastData','1.50','3.75','6.00','1603101');
insert into lottery.europe_data values('Interwetten','firstData','1.50','4.00','6.10','1603101');
insert into lottery.europe_data values('Interwetten','lastData','1.50','4.00','6.10','1603101');
insert into lottery.match values('1603102','英超','南安普','切尔西','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','2.62','3.10','2.80','1603102');
insert into lottery.europe_data values('williamHill','lastData','2.75','3.10','2.40','1603102');
insert into lottery.europe_data values('Interwetten','firstData','2.85','3.20','2.50','1603102');
insert into lottery.europe_data values('Interwetten','lastData','2.85','3.20','2.50','1603102');
insert into lottery.match values('1603103','英超','斯托克','维拉','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.67','3.60','5.50','1603103');
insert into lottery.europe_data values('williamHill','lastData','1.80','3.60','4.33','1603103');
insert into lottery.europe_data values('Interwetten','firstData','1.65','3.60','5.10','1603103');
insert into lottery.europe_data values('Interwetten','lastData','1.75','3.50','4.50','1603103');
insert into lottery.match values('1603104','英超','沃特福','伯恩茅','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','2.38','3.25','3.00','1603104');
insert into lottery.europe_data values('williamHill','lastData','2.62','3.10','3.00','1603104');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.20','3.20','1603104');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.30','2.75','1603104');
insert into lottery.match values('1603105','英超','西布罗','水晶宫','3:2','3');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.00','2.90','1603105');
insert into lottery.europe_data values('williamHill','lastData','2.70','3.10','2.75','1603105');
insert into lottery.europe_data values('Interwetten','firstData','2.50','3.20','2.75','1603105');
insert into lottery.europe_data values('Interwetten','lastData','2.50','3.20','2.75','1603105');
insert into lottery.match values('1603106','德甲','汉堡','因戈尔','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.00','2.90','1603106');
insert into lottery.europe_data values('williamHill','lastData','2.40','2.90','3.30','1603106');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.20','3.00','1603106');
insert into lottery.europe_data values('Interwetten','lastData','2.30','3.20','3.00','1603106');
insert into lottery.match values('1603107','德甲','斯图加','汉诺威','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','1.55','4.00','6.00','1603107');
insert into lottery.europe_data values('williamHill','lastData','1.53','4.00','6.50','1603107');
insert into lottery.europe_data values('Interwetten','firstData','1.50','4.00','6.10','1603107');
insert into lottery.europe_data values('Interwetten','lastData','1.50','4.00','6.10','1603107');
insert into lottery.match values('1603108','德甲','沃尔夫','拜仁','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','7.00','4.50','1.44','1603108');
insert into lottery.europe_data values('williamHill','lastData','9.00','4.20','1.40','1603108');
insert into lottery.europe_data values('Interwetten','firstData','5.50','4.00','1.55','1603108');
insert into lottery.europe_data values('Interwetten','lastData','5.50','4.00','1.55','1603108');
insert into lottery.match values('1603109','德甲','不来梅','达姆施','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','2.10','3.40','3.50','1603109');
insert into lottery.europe_data values('williamHill','lastData','1.91','3.50','4.00','1603109');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.30','3.10','1603109');
insert into lottery.europe_data values('Interwetten','lastData','2.10','3.30','3.30','1603109');
insert into lottery.match values('1603110','意甲','恩波利','罗马','1:3','0');
insert into lottery.europe_data values('williamHill','firstData','4.00','3.50','1.91','1603110');
insert into lottery.europe_data values('williamHill','lastData','4.33','3.30','1.91','1603110');
insert into lottery.europe_data values('Interwetten','firstData','4.20','3.50','1.80','1603110');
insert into lottery.europe_data values('Interwetten','lastData','4.20','3.50','1.80','1603110');
insert into lottery.match values('1603111','西甲','皇马','马竞技','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','1.91','3.50','4.00','1603111');
insert into lottery.europe_data values('williamHill','lastData','1.95','3.40','4.00','1603111');
insert into lottery.europe_data values('Interwetten','firstData','1.80','3.50','4.20','1603111');
insert into lottery.europe_data values('Interwetten','lastData','1.80','3.50','4.20','1603111');
insert into lottery.match values('1603112','西甲','赫塔费','塞尔塔','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','3.10','3.20','2.38','1603112');
insert into lottery.europe_data values('williamHill','lastData','2.90','3.25','2.45','1603112');
insert into lottery.europe_data values('Interwetten','firstData','2.75','3.30','2.40','1603112');
insert into lottery.europe_data values('Interwetten','lastData','2.75','3.30','2.40','1603112');
insert into lottery.match values('1603113','西甲','希洪','西牙人','2:4','0');
insert into lottery.europe_data values('williamHill','firstData','2.38','3.25','3.00','1603113');
insert into lottery.europe_data values('williamHill','lastData','2.30','3.20','3.20','1603113');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.10','3.30','1603113');
insert into lottery.europe_data values('Interwetten','lastData','2.20','3.10','3.30','1603113');
insert into lottery.match values('1603114','法甲','蒙彼利','里尔','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.60','2.90','3.00','1603114');
insert into lottery.europe_data values('williamHill','lastData','2.50','2.90','3.20','1603114');
insert into lottery.europe_data values('Interwetten','firstData','2.50','3.10','2.80','1603114');
insert into lottery.europe_data values('Interwetten','lastData','2.50','3.10','2.80','1603114');
insert into lottery.match values('1603201','英超','曼联','阿森纳','3:2','3');
insert into lottery.europe_data values('williamHill','firstData','2.50','3.20','2.88','1603201');
insert into lottery.europe_data values('williamHill','lastData','3.50','3.10','2.25','1603201');
insert into lottery.europe_data values('Interwetten','firstData','2.70','3.10','2.60','1603201');
insert into lottery.europe_data values('Interwetten','lastData','2.75','3.30','2.40','1603201');
insert into lottery.match values('1603202','英超','热刺','斯旺西','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.00','7.00','1603202');
insert into lottery.europe_data values('williamHill','lastData','1.50','4.00','7.00','1603202');
insert into lottery.europe_data values('Interwetten','firstData','1.45','4.00','7.00','1603202');
insert into lottery.europe_data values('Interwetten','lastData','1.45','4.00','7.00','1603202');
insert into lottery.match values('1603203','德甲','奥格斯','门兴','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.40','2.60','1603203');
insert into lottery.europe_data values('williamHill','lastData','2.90','3.60','2.30','1603203');
insert into lottery.europe_data values('Interwetten','firstData','2.65','3.30','2.50','1603203');
insert into lottery.europe_data values('Interwetten','lastData','2.65','3.30','2.50','1603203');
insert into lottery.match values('1603204','德甲','多特','霍芬','3:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.20','7.00','12.00','1603204');
insert into lottery.europe_data values('williamHill','lastData','1.25','6.00','11.00','1603204');
insert into lottery.europe_data values('Interwetten','firstData','1.25','5.50','10.30','1603204');
insert into lottery.europe_data values('Interwetten','lastData','1.25','5.50','10.30','1603204');
insert into lottery.match values('1603205','德甲','美因茨','勒沃','3:1','3');
insert into lottery.europe_data values('williamHill','firstData','3.75','3.40','2.00','1603205');
insert into lottery.europe_data values('williamHill','lastData','3.40','3.50','2.10','1603205');
insert into lottery.europe_data values('Interwetten','firstData','3.10','3.30','2.20','1603205');
insert into lottery.europe_data values('Interwetten','lastData','3.30','3.30','2.10','1603205');
insert into lottery.match values('1603206','德甲','法兰克','沙尔克','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','3.10','3.60','2.20','1603206');
insert into lottery.europe_data values('williamHill','lastData','2.60','3.40','2.62','1603206');
insert into lottery.europe_data values('Interwetten','firstData','3.10','3.30','2.20','1603206');
insert into lottery.europe_data values('Interwetten','lastData','2.75','3.30','2.40','1603206');
insert into lottery.match values('1603207','意甲','切沃','热那亚','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','3.25','3.00','2.38','1603207');
insert into lottery.europe_data values('williamHill','lastData','2.90','3.00','2.60','1603207');
insert into lottery.europe_data values('Interwetten','firstData','2.75','3.20','2.50','1603207');
insert into lottery.europe_data values('Interwetten','lastData','2.75','3.20','2.50','1603207');
insert into lottery.match values('1603208','意甲','桑普多','弗洛西','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.70','3.80','4.80','1603208');
insert into lottery.europe_data values('williamHill','lastData','1.50','4.00','7.00','1603208');
insert into lottery.europe_data values('Interwetten','firstData','1.75','3.50','4.50','1603208');
insert into lottery.europe_data values('Interwetten','lastData','1.65','3.60','5.10','1603208');
insert into lottery.match values('1603209','意甲','乌迪内','维罗纳','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.00','3.40','3.80','1603209');
insert into lottery.europe_data values('williamHill','lastData','1.83','3.60','4.33','1603209');
insert into lottery.europe_data values('Interwetten','firstData','1.90','3.45','3.80','1603209');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.45','3.80','1603209');
insert into lottery.match values('1603210','意甲','尤文','国米','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.65','3.50','6.00','1603210');
insert into lottery.europe_data values('williamHill','lastData','1.57','3.80','6.00','1603210');
insert into lottery.europe_data values('Interwetten','firstData','1.55','3.90','5.60','1603210');
insert into lottery.europe_data values('Interwetten','lastData','1.55','3.90','5.60','1603210');
insert into lottery.match values('1603211','意甲','卡皮','亚特兰','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.38','3.00','3.25','1603211');
insert into lottery.europe_data values('williamHill','lastData','2.60','2.90','3.00','1603211');
insert into lottery.europe_data values('Interwetten','firstData','2.40','3.20','2.85','1603211');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.20','2.85','1603211');
insert into lottery.match values('1603212','西甲','巴伦西','毕尔巴','0:3','0');
insert into lottery.europe_data values('williamHill','firstData','2.20','3.30','3.30','1603212');
insert into lottery.europe_data values('williamHill','lastData','2.05','3.40','3.20','1603212');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.20','3.20','1603212');
insert into lottery.europe_data values('Interwetten','lastData','2.20','3.20','3.20','1603212');
insert into lottery.match values('1603213','西甲','巴萨','塞维利','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.20','7.00','12.00','1603213');
insert into lottery.europe_data values('williamHill','lastData','1.20','6.50','13.00','1603213');
insert into lottery.europe_data values('Interwetten','firstData','1.20','5.80','13.00','1603213');
insert into lottery.europe_data values('Interwetten','lastData','1.20','5.80','13.00','1603213');
insert into lottery.match values('1603214','西甲','拉科鲁','格拉纳','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','1.83','3.40','4.50','1603214');
insert into lottery.europe_data values('williamHill','lastData','1.83','3.50','4.40','1603214');
insert into lottery.europe_data values('Interwetten','firstData','1.80','3.50','4.20','1603214');
insert into lottery.europe_data values('Interwetten','lastData','1.80','3.50','4.20','1603214');
insert into lottery.match values('1603301','英超','伯恩茅','南安普','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.90','3.20','2.50','1603301');
insert into lottery.europe_data values('williamHill','lastData','2.70','3.10','2.70','1603301');
insert into lottery.europe_data values('Interwetten','firstData','2.75','3.30','2.40','1603301');
insert into lottery.europe_data values('Interwetten','lastData','2.75','3.20','2.50','1603301');
insert into lottery.match values('1603302','英超','维拉','埃弗顿','1:3','0');
insert into lottery.europe_data values('williamHill','firstData','4.33','3.50','1.85','1603302');
insert into lottery.europe_data values('williamHill','lastData','5.50','3.50','1.70','1603302');
insert into lottery.europe_data values('Interwetten','firstData','4.50','3.50','1.75','1603302');
insert into lottery.europe_data values('Interwetten','lastData','4.50','3.50','1.75','1603302');
insert into lottery.match values('1603303','英超','莱切城','西布罗','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','1.55','4.00','6.00','1603303');
insert into lottery.europe_data values('williamHill','lastData','1.67','3.30','6.00','1603303');
insert into lottery.europe_data values('Interwetten','firstData','1.60','3.70','5.40','1603303');
insert into lottery.europe_data values('Interwetten','lastData','1.70','3.60','4.70','1603303');
insert into lottery.match values('1603304','英超','诺维奇','切尔西','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','5.00','4.00','1.65','1603304');
insert into lottery.europe_data values('williamHill','lastData','5.50','3.60','1.67','1603304');
insert into lottery.europe_data values('Interwetten','firstData','5.60','3.90','1.55','1603304');
insert into lottery.europe_data values('Interwetten','lastData','5.10','3.60','1.65','1603304');
insert into lottery.match values('1603305','英超','桑德兰','水晶宫','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','2.50','3.20','2.88','1603305');
insert into lottery.europe_data values('williamHill','lastData','2.50','3.10','3.00','1603305');
insert into lottery.europe_data values('Interwetten','firstData','2.50','3.30','2.65','1603305');
insert into lottery.europe_data values('Interwetten','lastData','2.50','3.30','2.65','1603305');
insert into lottery.match values('1603306','德甲','因戈尔','科隆','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.00','2.90','1603306');
insert into lottery.europe_data values('williamHill','lastData','2.60','2.90','3.00','1603306');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1603306');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.00','2.80','1603306');
insert into lottery.match values('1603307','德甲','汉诺威','沃尔夫','0:4','0');
insert into lottery.europe_data values('williamHill','firstData','4.20','3.75','1.80','1603307');
insert into lottery.europe_data values('williamHill','lastData','3.75','3.60','1.95','1603307');
insert into lottery.europe_data values('Interwetten','firstData','4.50','3.50','1.75','1603307');
insert into lottery.europe_data values('Interwetten','lastData','3.60','3.30','2.00','1603307');
insert into lottery.match values('1603308','西甲','马竞技','社会','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.00','7.00','1603308');
insert into lottery.europe_data values('williamHill','lastData','1.40','4.20','9.00','1603308');
insert into lottery.europe_data values('Interwetten','firstData','1.45','4.00','7.00','1603308');
insert into lottery.europe_data values('Interwetten','lastData','1.45','4.00','7.00','1603308');
insert into lottery.match values('1603309','西甲','拉斯帕','赫塔费','4:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.00','3.25','4.00','1603309');
insert into lottery.europe_data values('williamHill','lastData','2.00','3.25','4.00','1603309');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1603309');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.30','3.60','1603309');
insert into lottery.match values('1603401','英超','阿森纳','斯旺西','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','1.36','4.60','9.00','1603401');
insert into lottery.europe_data values('williamHill','lastData','1.30','5.50','9.50','1603401');
insert into lottery.europe_data values('Interwetten','firstData','1.35','4.80','7.60','1603401');
insert into lottery.europe_data values('Interwetten','lastData','1.33','4.80','8.30','1603401');
insert into lottery.match values('1603402','英超','西汉姆','热刺','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','3.75','3.40','2.00','1603402');
insert into lottery.europe_data values('williamHill','lastData','3.40','3.25','2.20','1603402');
insert into lottery.europe_data values('Interwetten','firstData','3.60','3.30','2.00','1603402');
insert into lottery.europe_data values('Interwetten','lastData','3.60','3.30','2.00','1603402');
insert into lottery.match values('1603403','英超','斯托克','纽卡','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.85','3.50','4.33','1603403');
insert into lottery.europe_data values('williamHill','lastData','2.05','3.25','3.75','1603403');
insert into lottery.europe_data values('Interwetten','firstData','1.80','3.50','4.20','1603403');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.45','3.80','1603403');
insert into lottery.match values('1603404','英超','利物浦','曼城','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.40','2.62','1603404');
insert into lottery.europe_data values('williamHill','lastData','2.70','3.20','2.70','1603404');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1603404');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1603404');
insert into lottery.match values('1603405','英超','曼联','沃特福','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.67','3.60','5.50','1603405');
insert into lottery.europe_data values('williamHill','lastData','1.57','3.75','6.50','1603405');
insert into lottery.europe_data values('Interwetten','firstData','1.65','3.60','5.10','1603405');
insert into lottery.europe_data values('Interwetten','lastData','1.60','3.70','5.40','1603405');
insert into lottery.match values('1603406','德甲','勒沃','不来梅','1:4','0');
insert into lottery.europe_data values('williamHill','firstData','1.44','5.00','6.00','1603406');
insert into lottery.europe_data values('williamHill','lastData','1.55','4.33','5.50','1603406');
insert into lottery.europe_data values('Interwetten','firstData','1.45','4.00','7.00','1603406');
insert into lottery.europe_data values('Interwetten','lastData','1.50','4.00','6.10','1603406');
insert into lottery.match values('1603407','德甲','门兴','斯图加','4:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.10','4.00','3.00','1603407');
insert into lottery.europe_data values('williamHill','lastData','2.05','3.80','3.25','1603407');
insert into lottery.europe_data values('Interwetten','firstData','2.10','3.30','3.30','1603407');
insert into lottery.europe_data values('Interwetten','lastData','2.10','3.30','3.30','1603407');
insert into lottery.match values('1603408','德甲','拜仁','美因茨','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','1.12','8.50','19.00','1603408');
insert into lottery.europe_data values('williamHill','lastData','1.12','8.50','19.00','1603408');
insert into lottery.europe_data values('Interwetten','firstData','1.15','7.00','15.00','1603408');
insert into lottery.europe_data values('Interwetten','lastData','1.15','7.00','15.00','1603408');
insert into lottery.match values('1603409','德甲','沙尔克','汉堡','3:2','3');
insert into lottery.europe_data values('williamHill','firstData','1.73','3.80','4.60','1603409');
insert into lottery.europe_data values('williamHill','lastData','1.83','3.60','4.20','1603409');
insert into lottery.europe_data values('Interwetten','firstData','1.75','3.50','4.50','1603409');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.45','3.80','1603409');
insert into lottery.match values('1603410','德甲','赫塔','法兰克','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.80','3.60','4.40','1603410');
insert into lottery.europe_data values('williamHill','lastData','1.95','3.40','4.00','1603410');
insert into lottery.europe_data values('Interwetten','firstData','1.80','3.50','4.20','1603410');
insert into lottery.europe_data values('Interwetten','lastData','1.85','3.45','4.00','1603410');
insert into lottery.match values('1603411','德甲','达姆施','多特','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','9.00','4.80','1.35','1603411');
insert into lottery.europe_data values('williamHill','lastData','6.50','4.20','1.50','1603411');
insert into lottery.europe_data values('Interwetten','firstData','7.30','4.40','1.40','1603411');
insert into lottery.europe_data values('Interwetten','lastData','6.10','4.00','1.50','1603411');
insert into lottery.match values('1603412','德甲','霍芬','奥格斯','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.38','3.40','2.90','1603412');
insert into lottery.europe_data values('williamHill','lastData','2.30','3.40','3.00','1603412');
insert into lottery.europe_data values('Interwetten','firstData','2.50','3.30','2.65','1603412');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.30','2.75','1603412');
insert into lottery.match values('1603413','西甲','毕尔巴','拉科鲁','4:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.60','4.00','5.50','1603413');
insert into lottery.europe_data values('williamHill','lastData','1.44','4.33','7.50','1603413');
insert into lottery.europe_data values('Interwetten','firstData','1.60','3.70','5.40','1603413');
insert into lottery.europe_data values('Interwetten','lastData','1.50','4.00','6.10','1603413');
insert into lottery.match values('1603414','西甲','马拉加','巴伦西','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','2.15','3.20','3.50','1603414');
insert into lottery.europe_data values('williamHill','lastData','1.91','3.50','4.00','1603414');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.30','2.90','1603414');
insert into lottery.europe_data values('Interwetten','lastData','2.20','3.30','3.10','1603414');
insert into lottery.match values('1603501','意甲','罗马','佛罗伦','4:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.05','3.40','3.60','1603501');
insert into lottery.europe_data values('williamHill','lastData','2.10','3.40','3.60','1603501');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1603501');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.30','3.60','1603501');
insert into lottery.match values('1603502','法甲','卡昂','摩纳哥','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','3.20','3.20','2.30','1603502');
insert into lottery.europe_data values('williamHill','lastData','3.10','3.10','2.40','1603502');
insert into lottery.europe_data values('Interwetten','firstData','2.90','3.15','2.40','1603502');
insert into lottery.europe_data values('Interwetten','lastData','2.90','3.15','2.40','1603502');
insert into lottery.match values('1603601','英超','切尔西','斯托克','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.00','7.00','1603601');
insert into lottery.europe_data values('williamHill','lastData','1.53','4.00','6.50','1603601');
insert into lottery.europe_data values('Interwetten','firstData','1.50','4.00','6.10','1603601');
insert into lottery.europe_data values('Interwetten','lastData','1.55','3.90','5.60','1603601');
insert into lottery.match values('1603602','英超','埃弗顿','西汉姆','2:3','0');
insert into lottery.europe_data values('williamHill','firstData','1.75','3.75','4.50','1603602');
insert into lottery.europe_data values('williamHill','lastData','1.67','3.60','5.50','1603602');
insert into lottery.europe_data values('Interwetten','firstData','1.80','3.50','4.20','1603602');
insert into lottery.europe_data values('Interwetten','lastData','1.80','3.50','4.20','1603602');
insert into lottery.match values('1603603','英超','曼城','维拉','4:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.25','6.00','11.00','1603603');
insert into lottery.europe_data values('williamHill','lastData','1.20','6.00','17.00','1603603');
insert into lottery.europe_data values('Interwetten','firstData','1.20','5.80','13.00','1603603');
insert into lottery.europe_data values('Interwetten','lastData','1.20','5.80','13.00','1603603');
insert into lottery.match values('1603604','英超','纽卡','伯恩茅','1:3','0');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.40','2.62','1603604');
insert into lottery.europe_data values('williamHill','lastData','2.62','3.10','2.80','1603604');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.10','2.70','1603604');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.10','2.70','1603604');
insert into lottery.match values('1603605','英超','南安普','桑德兰','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.00','7.00','1603605');
insert into lottery.europe_data values('williamHill','lastData','1.67','3.60','5.50','1603605');
insert into lottery.europe_data values('Interwetten','firstData','1.60','3.70','5.40','1603605');
insert into lottery.europe_data values('Interwetten','lastData','1.70','3.60','4.70','1603605');
insert into lottery.match values('1603606','英超','斯旺西','诺维奇','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.91','3.50','4.00','1603606');
insert into lottery.europe_data values('williamHill','lastData','2.20','3.30','3.30','1603606');
insert into lottery.europe_data values('Interwetten','firstData','1.90','3.45','3.80','1603606');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.45','3.80','1603606');
insert into lottery.match values('1603607','英超','沃特福','莱切城','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','2.80','3.30','2.50','1603607');
insert into lottery.europe_data values('williamHill','lastData','2.80','3.10','2.62','1603607');
insert into lottery.europe_data values('Interwetten','firstData','3.00','3.20','2.30','1603607');
insert into lottery.europe_data values('Interwetten','lastData','2.75','3.20','2.50','1603607');
insert into lottery.match values('1603608','德甲','科隆','沙尔克','1:3','0');
insert into lottery.europe_data values('williamHill','firstData','2.45','3.25','2.90','1603608');
insert into lottery.europe_data values('williamHill','lastData','2.50','3.20','2.90','1603608');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1603608');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1603608');
insert into lottery.match values('1603609','德甲','法兰克','因戈尔','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.40','3.10','3.10','1603609');
insert into lottery.europe_data values('williamHill','lastData','2.60','3.10','2.80','1603609');
insert into lottery.europe_data values('Interwetten','firstData','2.40','3.30','2.75','1603609');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.30','2.75','1603609');
insert into lottery.match values('1603610','德甲','奥格斯','勒沃','3:3','1');
insert into lottery.europe_data values('williamHill','firstData','3.75','3.40','2.00','1603610');
insert into lottery.europe_data values('williamHill','lastData','2.90','3.20','2.50','1603610');
insert into lottery.europe_data values('Interwetten','firstData','2.75','3.30','2.40','1603610');
insert into lottery.europe_data values('Interwetten','lastData','2.65','3.30','2.50','1603610');
insert into lottery.match values('1603611','德甲','斯图加','霍芬','5:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.73','4.00','4.33','1603611');
insert into lottery.europe_data values('williamHill','lastData','1.73','4.00','4.33','1603611');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1603611');
insert into lottery.europe_data values('Interwetten','lastData','1.75','3.80','3.60','1603611');
insert into lottery.match values('1603612','德甲','沃尔夫','门兴','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.30','3.60','2.88','1603612');
insert into lottery.europe_data values('williamHill','lastData','2.00','3.80','3.40','1603612');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.30','3.10','1603612');
insert into lottery.europe_data values('Interwetten','lastData','2.20','3.30','3.10','1603612');
insert into lottery.match values('1603613','德甲','不来梅','汉诺威','4:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.83','3.60','4.20','1603613');
insert into lottery.europe_data values('williamHill','lastData','1.62','4.20','5.00','1603613');
insert into lottery.europe_data values('Interwetten','firstData','1.80','3.50','4.20','1603613');
insert into lottery.europe_data values('Interwetten','lastData','1.70','3.60','4.70','1603613');
insert into lottery.match values('1603614','德甲','多特','拜仁','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','3.30','3.60','2.10','1603614');
insert into lottery.europe_data values('williamHill','lastData','3.20','3.20','2.30','1603614');
